strategy,pattern,severity,impact_score,loop_depth,is_inside_loop,relative_line_position,execution_count_at_line,avg_time_ms_at_line,line_dominance,function_call_count,max_recursion_depth,complexity_ordinal,pattern_frequency,severity_encoded,pat_constant_folding,pat_dead_code,pat_hot_loop,pat_loop_invariant,pat_nested_loops,pat_repeated_computation,pat_unused_vars
restructure_loop,unused_vars,low,3.0,0,0,0.2857,1,0.001,0.047619,0,0,6,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.2381,1,0.002,0.047619,0,0,6,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.381,1,0.001,0.047619,0,0,6,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,constant_folding,low,2.0,0,0,0.9524,1,0.002,0.047619,0,0,6,0.11368015414258188,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
restructure_loop,unused_vars,low,3.0,0,0,0.72,1,0.001,0.029412,0,0,2,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.68,1,0.0,0.029412,0,0,2,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.64,1,0.001,0.029412,0,0,2,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,constant_folding,low,2.0,0,0,0.52,1,0.002,0.029412,0,0,2,0.11368015414258188,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
restructure_loop,unused_vars,low,3.0,0,0,0.5625,1,0.001,0.0625,0,0,3,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.3125,1,0.001,0.0625,0,0,3,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.5,1,0.001,0.0625,0,0,3,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,nested_loops,low,6.0,2,1,0.7727,0,0.0,0.0,0,0,5,0.11946050096339114,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
restructure_loop,unused_vars,low,3.0,0,0,0.5455,1,0.0,0.02381,0,0,5,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.5,1,0.001,0.02381,0,0,5,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.05,0,0.0,0.0,0,0,2,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.4,1,0.001,0.058824,0,0,2,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.45,1,0.001,0.058824,0,0,2,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.5,1,0.001,0.058824,0,0,2,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.3913,1,0.001,0.055556,0,0,5,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.2174,1,0.001,0.055556,0,0,5,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.3478,1,0.001,0.055556,0,0,5,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,nested_loops,low,6.0,2,1,0.8276,0,0.0,0.0,0,0,5,0.11946050096339114,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
restructure_loop,unused_vars,low,3.0,0,0,0.6552,1,0.0,0.022727,0,0,5,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.6207,1,0.001,0.022727,0,0,5,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.4091,1,0.001,0.011628,0,0,3,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.3182,1,0.001,0.011628,0,0,3,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.2727,1,0.001,0.011628,0,0,3,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.2273,1,0.001,0.011628,0,0,3,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.3636,1,0.001,0.011628,0,0,3,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.7308,1,0.0,0.010101,0,0,5,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.6923,1,0.0,0.010101,0,0,5,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.6538,1,0.001,0.010101,0,0,5,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.6,1,0.001,0.037037,0,0,3,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.3333,1,0.001,0.037037,0,0,3,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.5333,1,0.001,0.037037,0,0,3,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,nested_loops,low,6.0,2,1,0.7619,0,0.0,0.0,0,0,6,0.11946050096339114,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
restructure_loop,unused_vars,low,3.0,0,0,0.5238,1,0.0,0.018868,0,0,6,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.4762,1,0.0,0.018868,0,0,6,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.5,1,0.001,0.041667,0,0,2,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.3889,1,0.001,0.041667,0,0,2,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.3333,1,0.001,0.041667,0,0,2,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.2778,1,0.001,0.041667,0,0,2,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.4444,1,0.001,0.041667,0,0,2,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.6818,1,0.001,0.027027,0,0,2,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.6364,1,0.001,0.027027,0,0,2,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.5909,1,0.002,0.027027,0,0,2,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,constant_folding,low,2.0,0,0,0.875,1,0.003,0.0625,0,0,3,0.11368015414258188,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
restructure_loop,unused_vars,low,3.0,0,0,0.5625,1,0.001,0.047619,0,0,3,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
restructure_loop,unused_vars,low,3.0,0,0,0.3125,1,0.001,0.047619,0,0,3,0.7302504816955684,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
