execution_id,family,strategy,pattern,severity,impact_score,loop_depth,is_inside_loop,relative_line_position,co_occurring_patterns,execution_count_at_line,avg_time_ms_at_line,total_time_ms_at_line,line_dominance,function_call_count,max_recursion_depth,source_lines,complexity_class,complexity_ordinal,execution_time_ms,peak_memory_bytes,total_suggestions
c0e38e50-180b-4aee-85da-4c1e2fc388d6,loops,restructure_loop,constant_folding,low,2.0,0,False,0.9524,constant_folding|unused_vars,1,0.002,0.002,0.047619,0,0,21,O(n³),6,0.113,3535,6
1b1d193e-e438-4ae0-bbcd-84f0f424b8b2,loops,restructure_loop,unused_vars,low,3.0,0,False,0.72,constant_folding|unused_vars,1,0.001,0.001,0.029412,0,0,25,O(log n),2,0.184,3917,4
1b1d193e-e438-4ae0-bbcd-84f0f424b8b2,loops,restructure_loop,unused_vars,low,3.0,0,False,0.68,constant_folding|unused_vars,1,0.0,0.0,0.029412,0,0,25,O(log n),2,0.184,3917,4
1b1d193e-e438-4ae0-bbcd-84f0f424b8b2,loops,restructure_loop,unused_vars,low,3.0,0,False,0.64,constant_folding|unused_vars,1,0.001,0.001,0.029412,0,0,25,O(log n),2,0.184,3917,4
1b1d193e-e438-4ae0-bbcd-84f0f424b8b2,loops,restructure_loop,constant_folding,low,2.0,0,False,0.52,constant_folding|unused_vars,1,0.002,0.002,0.029412,0,0,25,O(log n),2,0.184,3917,4
439a958a-c883-4a33-a884-38fdf8ff5c9d,loops,restructure_loop,unused_vars,low,3.0,0,False,0.5625,unused_vars,1,0.001,0.001,0.0625,0,0,16,O(n),3,0.088,3699,3
439a958a-c883-4a33-a884-38fdf8ff5c9d,loops,restructure_loop,unused_vars,low,3.0,0,False,0.3125,unused_vars,1,0.001,0.001,0.0625,0,0,16,O(n),3,0.088,3699,3
439a958a-c883-4a33-a884-38fdf8ff5c9d,loops,restructure_loop,unused_vars,low,3.0,0,False,0.5,unused_vars,1,0.001,0.001,0.0625,0,0,16,O(n),3,0.088,3699,3
99eae22f-66c1-4069-97ff-a32bfb81b64d,loops,restructure_loop,nested_loops,low,6.0,2,True,0.7727,nested_loops|unused_vars,0,0.0,0.0,0.0,0,0,22,O(n²),5,0.276,3891,3
99eae22f-66c1-4069-97ff-a32bfb81b64d,loops,restructure_loop,unused_vars,low,3.0,0,False,0.5455,nested_loops|unused_vars,1,0.0,0.0,0.02381,0,0,22,O(n²),5,0.276,3891,3
99eae22f-66c1-4069-97ff-a32bfb81b64d,loops,restructure_loop,unused_vars,low,3.0,0,False,0.5,nested_loops|unused_vars,1,0.001,0.001,0.02381,0,0,22,O(n²),5,0.276,3891,3
5893ab8c-e13d-4476-86ca-052d80cf51c5,loops,restructure_loop,unused_vars,low,3.0,0,False,0.05,unused_vars,0,0.0,0.0,0.0,0,0,20,O(log n),2,0.088,3432,4
5893ab8c-e13d-4476-86ca-052d80cf51c5,loops,restructure_loop,unused_vars,low,3.0,0,False,0.4,unused_vars,1,0.001,0.001,0.058824,0,0,20,O(log n),2,0.088,3432,4
5893ab8c-e13d-4476-86ca-052d80cf51c5,loops,restructure_loop,unused_vars,low,3.0,0,False,0.45,unused_vars,1,0.001,0.001,0.058824,0,0,20,O(log n),2,0.088,3432,4
5893ab8c-e13d-4476-86ca-052d80cf51c5,loops,restructure_loop,unused_vars,low,3.0,0,False,0.5,unused_vars,1,0.001,0.001,0.058824,0,0,20,O(log n),2,0.088,3432,4
4b3c1e93-daa9-4d59-b2c5-75bfb332cd37,loops,restructure_loop,unused_vars,low,3.0,0,False,0.3913,unused_vars,1,0.001,0.001,0.055556,0,0,23,O(n²),5,0.115,3699,3
4b3c1e93-daa9-4d59-b2c5-75bfb332cd37,loops,restructure_loop,unused_vars,low,3.0,0,False,0.2174,unused_vars,1,0.001,0.001,0.055556,0,0,23,O(n²),5,0.115,3699,3
4b3c1e93-daa9-4d59-b2c5-75bfb332cd37,loops,restructure_loop,unused_vars,low,3.0,0,False,0.3478,unused_vars,1,0.001,0.001,0.055556,0,0,23,O(n²),5,0.115,3699,3
0d561f47-0bb3-47b7-9b4d-b0cf4deed65e,loops,restructure_loop,nested_loops,low,6.0,2,True,0.8276,nested_loops|unused_vars,0,0.0,0.0,0.0,0,0,29,O(n²),5,0.316,3891,3
